instant_x,dteday_x,season_x,yr_x,mnth_x,hr_x,holiday_x,weekday_x,weathersit_x,temp_x,Unnamed: 0,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt,instant_y,dteday_y,season_y,yr_y,mnth_y,hr_y,holiday_y,weekday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y
374,2011-01-17 00:00:00,1,0,1,1,TRUE,1,2,0.2,373,0.197,0.44,0.194,1970-01-01 00:00:00,15,16,711,2011-02-01 00:00:00,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15
374,2011-01-17 00:00:00,1,0,1,1,TRUE,1,2,0.2,373,0.197,0.44,0.194,1970-01-01 00:00:00,15,16,901,2011-02-10 00:00:00,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16
595,2011-01-27 00:00:00,1,0,1,23,FALSE,4,1,0.18,594,0.197,0.8,0.1642,1970-01-01 00:00:00,16,16,711,2011-02-01 00:00:00,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15
595,2011-01-27 00:00:00,1,0,1,23,FALSE,4,1,0.18,594,0.197,0.8,0.1642,1970-01-01 00:00:00,16,16,901,2011-02-10 00:00:00,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16
601,2011-01-28 00:00:00,1,0,1,6,FALSE,5,2,0.18,600,0.197,0.8,0.1343,1970-01-01 00:00:00,16,16,711,2011-02-01 00:00:00,1,0,2,23,FALSE,2,3,0.2,0.197,0.93,0.194,1,15
601,2011-01-28 00:00:00,1,0,1,6,FALSE,5,2,0.18,600,0.197,0.8,0.1343,1970-01-01 00:00:00,16,16,901,2011-02-10 00:00:00,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16
2,2011-01-01 00:00:00,1,0,1,1,FALSE,6,1,0.22,1,0.2727,0.8,0,1970-01-01 00:00:00,32,40,734,2011-02-02 00:00:00,1,0,2,22,FALSE,3,1,0.22,0.2121,0.44,0.2537,5,35
2,2011-01-01 00:00:00,1,0,1,1,FALSE,6,1,0.22,1,0.2727,0.8,0,1970-01-01 00:00:00,32,40,966,2011-02-12 00:00:00,1,0,2,20,FALSE,6,1,0.26,0.2576,0.41,0.2239,1,39
299,2011-01-13 00:00:00,1,0,1,21,FALSE,4,1,0.14,298,0.1212,0.46,0.2985,1970-01-01 00:00:00,40,40,734,2011-02-02 00:00:00,1,0,2,22,FALSE,3,1,0.22,0.2121,0.44,0.2537,5,35
299,2011-01-13 00:00:00,1,0,1,21,FALSE,4,1,0.14,298,0.1212,0.46,0.2985,1970-01-01 00:00:00,40,40,966,2011-02-12 00:00:00,1,0,2,20,FALSE,6,1,0.26,0.2576,0.41,0.2239,1,39
488,2011-01-22 00:00:00,1,0,1,9,FALSE,6,1,0.04,487,0.0303,0.41,0.2537,1970-01-01 00:00:00,37,40,734,2011-02-02 00:00:00,1,0,2,22,FALSE,3,1,0.22,0.2121,0.44,0.2537,5,35
488,2011-01-22 00:00:00,1,0,1,9,FALSE,6,1,0.04,487,0.0303,0.41,0.2537,1970-01-01 00:00:00,37,40,966,2011-02-12 00:00:00,1,0,2,20,FALSE,6,1,0.26,0.2576,0.41,0.2239,1,39
535,2011-01-24 00:00:00,1,0,1,10,FALSE,1,1,0.1,534,0.1364,0.42,0,1970-01-01 00:00:00,34,40,734,2011-02-02 00:00:00,1,0,2,22,FALSE,3,1,0.22,0.2121,0.44,0.2537,5,35
535,2011-01-24 00:00:00,1,0,1,10,FALSE,1,1,0.1,534,0.1364,0.42,0,1970-01-01 00:00:00,34,40,966,2011-02-12 00:00:00,1,0,2,20,FALSE,6,1,0.26,0.2576,0.41,0.2239,1,39
571,2011-01-25 00:00:00,1,0,1,23,FALSE,2,2,0.22,570,0.2273,0.64,0.1642,1970-01-01 00:00:00,37,40,734,2011-02-02 00:00:00,1,0,2,22,FALSE,3,1,0.22,0.2121,0.44,0.2537,5,35
571,2011-01-25 00:00:00,1,0,1,23,FALSE,2,2,0.22,570,0.2273,0.64,0.1642,1970-01-01 00:00:00,37,40,966,2011-02-12 00:00:00,1,0,2,20,FALSE,6,1,0.26,0.2576,0.41,0.2239,1,39
3,2011-01-01 00:00:00,1,0,1,2,FALSE,6,1,0.22,2,0.2727,0.8,0,1970-01-01 00:00:00,27,32,640,2011-01-29 00:00:00,1,0,1,22,FALSE,6,1,0.16,0.197,0.8,0.0896,4,28
3,2011-01-01 00:00:00,1,0,1,2,FALSE,6,1,0.22,2,0.2727,0.8,0,1970-01-01 00:00:00,27,32,735,2011-02-02 00:00:00,1,0,2,23,FALSE,3,1,0.2,0.1667,0.44,0.4478,3,29
3,2011-01-01 00:00:00,1,0,1,2,FALSE,6,1,0.22,2,0.2727,0.8,0,1970-01-01 00:00:00,27,32,969,2011-02-12 00:00:00,1,0,2,23,FALSE,6,1,0.22,0.2273,0.51,0.1343,1,31
252,2011-01-11 00:00:00,1,0,1,20,FALSE,2,3,0.16,251,0.1515,0.93,0.194,1970-01-01 00:00:00,32,32,640,2011-01-29 00:00:00,1,0,1,22,FALSE,6,1,0.16,0.197,0.8,0.0896,4,28
252,2011-01-11 00:00:00,1,0,1,20,FALSE,2,3,0.16,251,0.1515,0.93,0.194,1970-01-01 00:00:00,32,32,735,2011-02-02 00:00:00,1,0,2,23,FALSE,3,1,0.2,0.1667,0.44,0.4478,3,29
252,2011-01-11 00:00:00,1,0,1,20,FALSE,2,3,0.16,251,0.1515,0.93,0.194,1970-01-01 00:00:00,32,32,969,2011-02-12 00:00:00,1,0,2,23,FALSE,6,1,0.22,0.2273,0.51,0.1343,1,31
358,2011-01-16 00:00:00,1,0,1,9,FALSE,0,1,0.22,357,0.2121,0.51,0.2537,1970-01-01 00:00:00,29,32,640,2011-01-29 00:00:00,1,0,1,22,FALSE,6,1,0.16,0.197,0.8,0.0896,4,28
358,2011-01-16 00:00:00,1,0,1,9,FALSE,0,1,0.22,357,0.2121,0.51,0.2537,1970-01-01 00:00:00,29,32,735,2011-02-02 00:00:00,1,0,2,23,FALSE,3,1,0.2,0.1667,0.44,0.4478,3,29
358,2011-01-16 00:00:00,1,0,1,9,FALSE,0,1,0.22,357,0.2121,0.51,0.2537,1970-01-01 00:00:00,29,32,969,2011-02-12 00:00:00,1,0,2,23,FALSE,6,1,0.22,0.2273,0.51,0.1343,1,31
414,2011-01-19 00:00:00,1,0,1,6,FALSE,3,2,0.22,413,0.2576,0.93,0.0896,1970-01-01 00:00:00,32,32,640,2011-01-29 00:00:00,1,0,1,22,FALSE,6,1,0.16,0.197,0.8,0.0896,4,28
414,2011-01-19 00:00:00,1,0,1,6,FALSE,3,2,0.22,413,0.2576,0.93,0.0896,1970-01-01 00:00:00,32,32,735,2011-02-02 00:00:00,1,0,2,23,FALSE,3,1,0.2,0.1667,0.44,0.4478,3,29
414,2011-01-19 00:00:00,1,0,1,6,FALSE,3,2,0.22,413,0.2576,0.93,0.0896,1970-01-01 00:00:00,32,32,969,2011-02-12 00:00:00,1,0,2,23,FALSE,6,1,0.22,0.2273,0.51,0.1343,1,31
4,2011-01-01 00:00:00,1,0,1,3,FALSE,6,1,0.24,3,0.2879,0.75,0,1970-01-01 00:00:00,10,13,759,2011-02-04 00:00:00,1,0,2,0,FALSE,5,2,0.2,0.2576,0.44,0,3,10
4,2011-01-01 00:00:00,1,0,1,3,FALSE,6,1,0.24,3,0.2879,0.75,0,1970-01-01 00:00:00,10,13,809,2011-02-06 00:00:00,1,0,2,3,FALSE,0,1,0.26,0.2879,0.6,0.0896,3,10
380,2011-01-17 00:00:00,1,0,1,7,TRUE,1,2,0.16,379,0.1818,0.5,0.1343,1970-01-01 00:00:00,9,13,759,2011-02-04 00:00:00,1,0,2,0,FALSE,5,2,0.2,0.2576,0.44,0,3,10
380,2011-01-17 00:00:00,1,0,1,7,TRUE,1,2,0.16,379,0.1818,0.5,0.1343,1970-01-01 00:00:00,9,13,809,2011-02-06 00:00:00,1,0,2,3,FALSE,0,1,0.26,0.2879,0.6,0.0896,3,10
395,2011-01-17 00:00:00,1,0,1,22,TRUE,1,3,0.14,394,0.1212,0.93,0.2537,1970-01-01 00:00:00,13,13,759,2011-02-04 00:00:00,1,0,2,0,FALSE,5,2,0.2,0.2576,0.44,0,3,10
395,2011-01-17 00:00:00,1,0,1,22,TRUE,1,3,0.14,394,0.1212,0.93,0.2537,1970-01-01 00:00:00,13,13,809,2011-02-06 00:00:00,1,0,2,3,FALSE,0,1,0.26,0.2879,0.6,0.0896,3,10
432,2011-01-20 00:00:00,1,0,1,0,FALSE,4,1,0.26,431,0.2273,0.56,0.3881,1970-01-01 00:00:00,8,13,759,2011-02-04 00:00:00,1,0,2,0,FALSE,5,2,0.2,0.2576,0.44,0,3,10
432,2011-01-20 00:00:00,1,0,1,0,FALSE,4,1,0.26,431,0.2273,0.56,0.3881,1970-01-01 00:00:00,8,13,809,2011-02-06 00:00:00,1,0,2,3,FALSE,0,1,0.26,0.2879,0.6,0.0896,3,10
480,2011-01-22 00:00:00,1,0,1,0,FALSE,6,1,0.04,479,0.0303,0.45,0.2537,1970-01-01 00:00:00,13,13,759,2011-02-04 00:00:00,1,0,2,0,FALSE,5,2,0.2,0.2576,0.44,0,3,10
480,2011-01-22 00:00:00,1,0,1,0,FALSE,6,1,0.04,479,0.0303,0.45,0.2537,1970-01-01 00:00:00,13,13,809,2011-02-06 00:00:00,1,0,2,3,FALSE,0,1,0.26,0.2879,0.6,0.0896,3,10
504,2011-01-23 00:00:00,1,0,1,1,FALSE,0,1,0.04,503,0.0758,0.57,0.1045,1970-01-01 00:00:00,12,13,759,2011-02-04 00:00:00,1,0,2,0,FALSE,5,2,0.2,0.2576,0.44,0,3,10
504,2011-01-23 00:00:00,1,0,1,1,FALSE,0,1,0.04,503,0.0758,0.57,0.1045,1970-01-01 00:00:00,12,13,809,2011-02-06 00:00:00,1,0,2,3,FALSE,0,1,0.26,0.2879,0.6,0.0896,3,10
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,646,2011-01-30 00:00:00,1,0,1,4,FALSE,0,1,0.14,0.2121,0.93,0,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,667,2011-01-31 00:00:00,1,0,1,2,FALSE,1,1,0.22,0.2273,0.64,0.194,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,715,2011-02-02 00:00:00,1,0,2,3,FALSE,3,3,0.22,0.2273,0.93,0.1343,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,716,2011-02-02 00:00:00,1,0,2,4,FALSE,3,3,0.22,0.2121,0.93,0.2836,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,739,2011-02-03 00:00:00,1,0,2,3,FALSE,4,1,0.18,0.1667,0.43,0.2537,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,761,2011-02-04 00:00:00,1,0,2,2,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,762,2011-02-04 00:00:00,1,0,2,3,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,811,2011-02-06 00:00:00,1,0,2,5,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,812,2011-02-06 00:00:00,1,0,2,6,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,833,2011-02-07 00:00:00,1,0,2,3,FALSE,1,1,0.2,0.2576,0.86,0,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,857,2011-02-08 00:00:00,1,0,2,3,FALSE,2,3,0.28,0.2727,0.93,0.1642,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,904,2011-02-10 00:00:00,1,0,2,4,FALSE,4,2,0.14,0.1364,0.59,0.2239,0,1
5,2011-01-01 00:00:00,1,0,1,4,FALSE,6,1,0.24,4,0.2879,0.75,0,1970-01-01 00:00:00,1,1,951,2011-02-12 00:00:00,1,0,2,5,FALSE,6,1,0.12,0.1667,0.74,0.0896,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,646,2011-01-30 00:00:00,1,0,1,4,FALSE,0,1,0.14,0.2121,0.93,0,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,667,2011-01-31 00:00:00,1,0,1,2,FALSE,1,1,0.22,0.2273,0.64,0.194,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,715,2011-02-02 00:00:00,1,0,2,3,FALSE,3,3,0.22,0.2273,0.93,0.1343,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,716,2011-02-02 00:00:00,1,0,2,4,FALSE,3,3,0.22,0.2121,0.93,0.2836,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,739,2011-02-03 00:00:00,1,0,2,3,FALSE,4,1,0.18,0.1667,0.43,0.2537,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,761,2011-02-04 00:00:00,1,0,2,2,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,762,2011-02-04 00:00:00,1,0,2,3,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,811,2011-02-06 00:00:00,1,0,2,5,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,812,2011-02-06 00:00:00,1,0,2,6,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,833,2011-02-07 00:00:00,1,0,2,3,FALSE,1,1,0.2,0.2576,0.86,0,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,857,2011-02-08 00:00:00,1,0,2,3,FALSE,2,3,0.28,0.2727,0.93,0.1642,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,904,2011-02-10 00:00:00,1,0,2,4,FALSE,4,2,0.14,0.1364,0.59,0.2239,0,1
6,2011-01-01 00:00:00,1,0,1,5,FALSE,6,2,0.24,5,0.2576,0.75,0.0896,1970-01-01 00:00:00,1,1,951,2011-02-12 00:00:00,1,0,2,5,FALSE,6,1,0.12,0.1667,0.74,0.0896,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,646,2011-01-30 00:00:00,1,0,1,4,FALSE,0,1,0.14,0.2121,0.93,0,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,667,2011-01-31 00:00:00,1,0,1,2,FALSE,1,1,0.22,0.2273,0.64,0.194,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,715,2011-02-02 00:00:00,1,0,2,3,FALSE,3,3,0.22,0.2273,0.93,0.1343,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,716,2011-02-02 00:00:00,1,0,2,4,FALSE,3,3,0.22,0.2121,0.93,0.2836,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,739,2011-02-03 00:00:00,1,0,2,3,FALSE,4,1,0.18,0.1667,0.43,0.2537,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,761,2011-02-04 00:00:00,1,0,2,2,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,762,2011-02-04 00:00:00,1,0,2,3,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,811,2011-02-06 00:00:00,1,0,2,5,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,812,2011-02-06 00:00:00,1,0,2,6,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,833,2011-02-07 00:00:00,1,0,2,3,FALSE,1,1,0.2,0.2576,0.86,0,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,857,2011-02-08 00:00:00,1,0,2,3,FALSE,2,3,0.28,0.2727,0.93,0.1642,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,904,2011-02-10 00:00:00,1,0,2,4,FALSE,4,2,0.14,0.1364,0.59,0.2239,0,1
31,2011-01-02 00:00:00,1,0,1,7,FALSE,0,2,0.4,30,0.4091,0.76,0.194,1970-01-01 00:00:00,1,1,951,2011-02-12 00:00:00,1,0,2,5,FALSE,6,1,0.12,0.1667,0.74,0.0896,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,646,2011-01-30 00:00:00,1,0,1,4,FALSE,0,1,0.14,0.2121,0.93,0,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,667,2011-01-31 00:00:00,1,0,1,2,FALSE,1,1,0.22,0.2273,0.64,0.194,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,715,2011-02-02 00:00:00,1,0,2,3,FALSE,3,3,0.22,0.2273,0.93,0.1343,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,716,2011-02-02 00:00:00,1,0,2,4,FALSE,3,3,0.22,0.2121,0.93,0.2836,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,739,2011-02-03 00:00:00,1,0,2,3,FALSE,4,1,0.18,0.1667,0.43,0.2537,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,761,2011-02-04 00:00:00,1,0,2,2,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,762,2011-02-04 00:00:00,1,0,2,3,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,811,2011-02-06 00:00:00,1,0,2,5,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,812,2011-02-06 00:00:00,1,0,2,6,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,833,2011-02-07 00:00:00,1,0,2,3,FALSE,1,1,0.2,0.2576,0.86,0,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,857,2011-02-08 00:00:00,1,0,2,3,FALSE,2,3,0.28,0.2727,0.93,0.1642,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,904,2011-02-10 00:00:00,1,0,2,4,FALSE,4,2,0.14,0.1364,0.59,0.2239,0,1
50,2011-01-03 00:00:00,1,0,1,4,FALSE,1,1,0.16,49,0.1364,0.47,0.3881,1970-01-01 00:00:00,1,1,951,2011-02-12 00:00:00,1,0,2,5,FALSE,6,1,0.12,0.1667,0.74,0.0896,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,646,2011-01-30 00:00:00,1,0,1,4,FALSE,0,1,0.14,0.2121,0.93,0,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,667,2011-01-31 00:00:00,1,0,1,2,FALSE,1,1,0.22,0.2273,0.64,0.194,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,715,2011-02-02 00:00:00,1,0,2,3,FALSE,3,3,0.22,0.2273,0.93,0.1343,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,716,2011-02-02 00:00:00,1,0,2,4,FALSE,3,3,0.22,0.2121,0.93,0.2836,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,739,2011-02-03 00:00:00,1,0,2,3,FALSE,4,1,0.18,0.1667,0.43,0.2537,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,761,2011-02-04 00:00:00,1,0,2,2,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,762,2011-02-04 00:00:00,1,0,2,3,FALSE,5,2,0.14,0.1667,0.63,0.1045,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,811,2011-02-06 00:00:00,1,0,2,5,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,812,2011-02-06 00:00:00,1,0,2,6,FALSE,0,1,0.26,0.2576,0.6,0.2239,0,1
72,2011-01-04 00:00:00,1,0,1,2,FALSE,2,1,0.14,71,0.1515,0.63,0.1343,1970-01-01 00:00:00,1,1,833,2011-02-07 00:00:00,1,0,2,3,FALSE,1,1,0.2,0.2576,0.86,0,0,1
